NAME,LIGHT-YEARS FROM EARTH,PLANET MASS,STELLAR MAGNITUDE,DISCOVERY DATE
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-258 b,2159,9.27 Earths,13.361,2018
K2-259 b,1358,5.99 Earths,12.511,2018
K2-25 b,147,24.5 Earths,16.21,2015
K2-260 b,2165,1.42 Jupiters,12.624,2018
K2-261 b,696,0.188 Jupiters,10.612,2018
K2-263 b,530,14.9 Earths,11.568,2018
K2-264 b,605,5.61 Earths,16.701,2018
K2-264 c,605,7.6 Earths,16.701,2018
K2-265 b,452,6.54 Earths,11.187,2018
K2-266 b,253,11.26782 Earths,11.625,2018
K2-266 c,253,0.29013 Earths,11.625,2018
K2-266 d,253,8.9 Earths,11.625,2018
K2-266 e,253,14.3 Earths,11.625,2018
K2-268 b,1069,2.86 Earths,13.848,2018
K2-268 c,1069,7.7 Earths,13.848,2018
K2-268 d,1069,2.83 Earths,13.848,2019
K2-268 e,1069,2.33 Earths,13.848,2019
K2-268 f,1069,5.6 Earths,13.848,2019
K2-269 b,1177,3.09 Earths,11.784,2018
K2-26 b,323,7.61 Earths,14.528,2016
K2-270 b,915,2.48 Earths,13.847,2018
K2-270 c,915,9.01 Earths,13.847,2018
K2-271 b,1841,0.131 Jupiters,13.845,2018
K2-272 b,1380,9.96 Earths,13.872,2018
K2-273 b,1005,9.53 Earths,13.246,2018
K2-274 b,745,4.98 Earths,13.181,2018
K2-275 b,403,6.08 Earths,11.974,2018
K2-275 c,403,5.52 Earths,11.974,2018
K2-276 b,1592,13.7 Earths,14.654,2018
K2-277 b,369,4.94 Earths,10.364,2018
K2-278 b,2565,9.17 Earths,13.446,2018
K2-279 b,597,1.92 Earths,11.491,2018
K2-27 b,814,30.9 Earths,12.689,2016
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,6.8 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-284 b,350,8.15 Earths,13.265,2018
K2-285 b,505,9.68 Earths,12.075,2018
K2-285 c,505,15.68 Earths,12.075,2018
K2-285 d,505,6.5 Earths,12.075,2018
K2-285 e,505,10.7 Earths,12.075,2018
K2-286 b,248,5.06 Earths,12.881,2018
K2-287 b,516,0.315 Jupiters,11.41,2018
K2-288 B b,214,4.27 Earths,13.868,2018
K2-289 b,895,0.192 Jupiters,14.81,2019
K2-28 b,205,5.99 Earths,16.526,2016
K2-290 b,890,10.9 Earths,11.114,2019
K2-290 c,890,0.774 Jupiters,11.114,2019
K2-291 b,294,6.49 Earths,10.014,2019
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-312 c,358,5.41 Jupiters,9.452,2023
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-317 b,575,8.91 Earths,17.74,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-326 b,921,5.82 Earths,15.982,2020
K2-329 b,761,0.26 Jupiters,12.697,2020
K2-32 b,514,15 Earths,12.304,2016
K2-32 c,514,8.1 Earths,12.304,2016
K2-32 d,514,6.7 Earths,12.304,2016
K2-32 e,514,2.1 Earths,12.304,2019
K2-330 b,522,8.1 Earths,9.608,2016
K2-331 b,690,3.86 Earths,11.305,2021
K2-331 c,690,7.85 Earths,11.305,2018
K2-332 b,402,5.48 Earths,,2016
K2-333 b,1122,31.6 Earths,12.073,2018
K2-334 b,1213,27.2 Earths,11.842,2018
K2-335 b,1820,5.52 Earths,12.556,2016
K2-336 b,781,1.98 Earths,12.803,2016
K2-337 b,1375,7.37 Earths,12.385,2016
K2-338 b,512,1.08 Earths,13.322,2016
K2-339 b,1175,4.35 Earths,14.487,2019
K2-33 b,454,3.7 Jupiters,15.838,2016
K2-340 b,2408,11.2 Earths,14.428,2016
K2-341 b,1375,10.4 Earths,12.725,2018
K2-342 b,680,4.78 Earths,11.338,2018
K2-343 b,542,3.36 Earths,16.01,2019
K2-343 c,542,4.74 Earths,16.01,2018
K2-344 b,245,3.15 Earths,13.423,2018
K2-345 b,530,5.1 Earths,15.72,2016
K2-346 b,344,5.73 Earths,11.903,2016
K2-347 b,1045,6.39 Earths,15.15,2016
K2-348 b,658,10.7 Earths,12.572,2018
K2-348 c,658,7.61 Earths,12.572,2018
K2-349 b,1480,2.48 Earths,14.585,2016
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-356 b,1160,5.86 Earths,13.268,2021
K2-357 b,1689,13.4 Earths,13.748,2021
K2-358 b,1567,7.65 Earths,13.699,2021
K2-35 b,824,2.3 Earths,14.166,2016
K2-35 c,824,4.38 Earths,14.166,2016
K2-365 b,611,8.78 Earths,11.372,2022
K2-366 b,607,6.16 Earths,12.636,2022
K2-367 b,577,6.41 Earths,13.794,2022
K2-368 b,674,2.34 Earths,13.581,2022
K2-368 c,674,2.42 Earths,13.581,2022
K2-368 d,674,4.45 Earths,13.581,2022
K2-369 b,605,2.28 Earths,11.789,2022
K2-36 b,358,4.3 Earths,11.726,2016
K2-36 c,358,7.9 Earths,11.726,2016
K2-370 b,470,10.4 Earths,11.109,2022
K2-371 b,1444,Unknown,14.492,2022
K2-372 b,1513,8.98 Earths,13.589,2022
K2-373 b,749,4.9 Earths,10.47,2022
K2-374 b,1172,3.16 Earths,12.783,2022
K2-374 c,1172,5.53 Earths,12.783,2022
K2-375 b,2271,5.66 Earths,13.164,2022
K2-376 b,527,3.66 Earths,10.415,2022
K2-377 b,637,3.51 Earths,14.107,2022
K2-378 b,2244,8.65 Earths,16.029,2022
K2-379 b,594,5.4 Earths,13.265,2022
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-380 b,813,7.89 Earths,11.688,2022
K2-381 b,475,1.26 Earths,12.883,2022
K2-381 c,475,4.66 Earths,12.883,2022
K2-381 d,475,3.5 Earths,12.883,2022
K2-382 b,908,4.95 Earths,12.977,2022
K2-383 b,665,3.07 Earths,12.689,2022
K2-384 b,270,1.26 Earths,16.12,2022
K2-384 c,270,1.82 Earths,16.12,2022
K2-384 d,270,2.52 Earths,16.12,2022
K2-384 e,270,2.37 Earths,16.12,2022
K2-384 f,270,5.57 Earths,16.12,2022
K2-385 b,1373,2.98 Earths,14.645,2022
K2-386 b,1399,5.99 Earths,13.241,2022
K2-387 b,869,0.133 Jupiters,16.147,2022
K2-388 b,948,13 Earths,12.861,2022
K2-389 b,846,5.41 Earths,11.827,2022
K2-389 c,846,4.82 Earths,11.827,2022
K2-38 b,629,7.7 Earths,11.344,2016
K2-38 c,629,7.4 Earths,11.344,2016
K2-390 b,1488,19.6 Earths,13.611,2022
K2-391 b,1657,2.45 Earths,12.527,2022
K2-392 b,1328,4.08 Earths,12.922,2022
K2-393 b,867,6.13 Earths,11.84,2022
K2-394 b,320,3.51 Earths,12.768,2022
K2-395 b,935,7.26 Earths,15.131,2022
K2-395 c,935,11.4 Earths,15.131,2022
K2-396 b,897,3.12 Earths,13.32,2022
K2-396 c,897,9.93 Earths,13.32,2022
K2-397 b,650,6.42 Earths,11.865,2022
K2-398 b,1980,5.79 Earths,13.287,2022
K2-398 c,1980,22.8 Earths,13.287,2022
K2-399 b,1682,30.5 Earths,12.478,2022
K2-39 b,1003,28.6047 Earths,10.831,2016
K2-3 b,144,5.11 Earths,12.168,2015
K2-3 c,144,2.68 Earths,12.168,2015
K2-3 d,144,2.2 Earths,12.168,2015
K2-400 b,203,1.67 Earths,15.108,2022
K2-401 b,655,5.74 Earths,14.014,2022
K2-402 b,1706,7.65 Earths,13.032,2022
K2-403 b,804,24.6 Earths,12.305,2022
K2-404 b,397,6.94 Earths,14.622,2022
K2-405 b,643,18.9 Earths,12.816,2022
K2-406 b,278,19.2 Earths,9.465,2022
K2-407 b,712,2.19 Earths,11.969,2022
K2-407 c,712,2.42 Earths,11.969,2022
K2-408 b,529,3.45 Earths,12.056,2022
K2-409 b,1406,6.72 Earths,12.902,2022
K2-411 b,973,0.937 Earths,12.27,2022
K2-412 b,2134,5.13 Earths,15.746,2022
K2-413 b,930,0.363 Earths,15.013,2022
K2-413 c,930,2.05 Earths,15.013,2022
K2-414 b,848,1.98 Earths,14.289,2022
K2-414 c,848,4.38 Earths,14.289,2022
K2-415 b,71,7.5 Earths,15.33,2023
K2-416 b,392,5.2 Jupiters,14.794,2023
K2-417 b,307,2.2 Jupiters,13.909,2023
K2-42 b,1295,5.27 Earths,15.006,2016
K2-43 b,595,18.5 Earths,15.748,2016
K2-43 c,595,6.44 Earths,15.748,2019
K2-44 b,1555,6.5 Earths,12.27,2016
K2-45 b,1616,36.4 Earths,15.746,2016
K2-46 b,1465,4.86 Earths,12.144,2016
K2-47 b,1141,4.23 Earths,14.065,2016
K2-48 b,1023,5.65 Earths,14.345,2016
K2-49 b,1491,4.38 Earths,15.668,2016
K2-4 b,756,5.06 Earths,14.855,2015
K2-50 b,840,3.15 Earths,14.705,2016
K2-52 b,3387,144 Jupiters,15.93,2016
K2-53 b,450,7.27 Earths,12.634,2016
K2-54 b,571,1.6 Earths,14.542,2016
K2-55 b,520,14 Earths,13.519,2016
K2-57 b,862,5.06 Earths,14.414,2016
K2-58 b,593,7.65 Earths,12.415,2016
K2-58 c,593,3.26 Earths,12.415,2016
K2-58 d,593,3.57 Earths,12.415,2016
K2-59 b,1016,6.39 Earths,14.266,2016
K2-59 c,1016,5.9 Earths,14.266,2016
K2-5 b,662,4.31 Earths,14.974,2015
K2-5 c,662,5.73 Earths,14.974,2015
K2-60 b,1604,0.426 Jupiters,12.857,2016
K2-61 b,1323,6.71 Earths,13.173,2016
K2-62 b,367,5.22 Earths,12.391,2016
K2-62 c,367,5.22 Earths,12.391,2016
K2-63 b,1688,10.5 Earths,12.98,2016
K2-63 c,1688,14.5 Earths,12.98,2016
K2-64 b,1631,4.94 Earths,14.132,2016
K2-65 b,236,3.12 Earths,10.71,2016
K2-66 b,1676,21.3 Earths,11.71,2016
K2-68 b,550,3.12 Earths,12.987,2016
K2-69 b,589,5.99 Earths,16.024,2016
K2-6 b,1033,6.8 Earths,12.66,2015
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,9.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.87 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-89 b,281,0.17 Earths,14.162,2016
K2-8 b,1316,12.5 Earths,14.801,2015
K2-8 c,1316,6.39 Earths,14.801,2016
K2-90 b,438,7.27 Earths,13.707,2016
K2-90 c,438,2.24 Earths,13.707,2016
K2-91 b,204,1.37 Earths,15.622,2016
K2-95 b,587,11 Earths,17.236,2016
K2-97 b,2865,0.48 Jupiters,12.486,2016
K2-98 b,1692,32.2 Earths,12.216,2016
K2-99 b,1694,0.97 Jupiters,11.149,2016
K2-9 b,271,5.69 Earths,15.86,2015
Kappa Andromedae b,163,13.616 Jupiters,4.13791,2012
Kappa Coronae Borealis b,98,2 Jupiters,4.79734,2007
Kapteyn c,13,7 Earths,8.86,2014
KELT-10 b,615,0.679 Jupiters,10.617,2016
KELT-11 b,323,0.171 Jupiters,8.04,2017
KELT-12 b,1201,0.95 Jupiters,10.585,2017
KELT-14 b,816,1.284 Jupiters,11.001,2016
KELT-15 b,1059,1.31 Jupiters,11.39,2016
KELT-16 b,1450,2.75 Jupiters,11.717,2017
KELT-17 b,739,1.31 Jupiters,9.234,2016
KELT-18 b,1048,1.18 Jupiters,10.16,2017
KELT-19 A b,980,4.07 Jupiters,9.857,2017
KELT-1 b,876,27.23 Jupiters,10.632,2012
KELT-20 b,445,3.382 Jupiters,7.59,2017
KELT-21 b,1536,3.91 Jupiters,10.484,2018
KELT-23 A b,412,0.938 Jupiters,10.308,2019
KELT-24 b,315,5.18 Jupiters,8.34,2019
KELT-2 A b,437,1.7 Jupiters,8.68,2012
KELT-3 b,686,1.94 Jupiters,9.816,2013
KELT-4 A b,711,0.902 Jupiters,9.98,2016
KELT-6 b,785,0.52 Jupiters,10.371,2014
KELT-6 c,785,3.71 Jupiters,10.371,2015
KELT-7 b,446,1.39 Jupiters,8.56,2015
KELT-8 b,644,0.66 Jupiters,10.845,2015
KELT-9 b,667,2.88 Jupiters,7.55,2017
Kepler-1000 b,3639,20.3 Earths,13.23,2016
Kepler-1001 b,3030,10.1 Earths,15.582,2016
Kepler-1001 c,3030,3.11 Earths,15.582,2020
Kepler-1002 b,1332,3.57 Earths,11.821,2016
Kepler-1003 b,3072,3.82 Earths,14.132,2016
Kepler-1004 b,3760,32.5 Earths,13.705,2016
Kepler-1005 b,1852,2.86 Earths,13.371,2016
Kepler-1006 b,3529,2.99 Earths,14.467,2016
Kepler-1007 b,1191,2.67 Earths,14.981,2016
Kepler-1008 b,922,2.18 Earths,13.59,2016
Kepler-1009 b,1158,5.35 Earths,15.758,2016
Kepler-100 b,994,7.34 Earths,11.055,2014
Kepler-100 c,994,7.05 Earths,11.055,2014
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-1018 b,3295,7.18 Earths,15.103,2016
Kepler-1019 b,633,2.73 Earths,13.882,2016
Kepler-101 b,3027,0.16 Jupiters,13.7,2014
Kepler-101 c,3027,3.78 Earths,13.7,2014
Kepler-1020 b,1355,5.82 Earths,14.211,2016
Kepler-1021 b,2642,6.04 Earths,15.207,2016
Kepler-1022 b,1370,6.17 Earths,15.758,2016
Kepler-1023 b,2264,7.41 Earths,14.7121,2016
Kepler-1024 b,3547,14.5 Earths,16.272,2016
Kepler-1025 b,2622,4.58 Earths,13.695,2016
Kepler-1026 b,1146,5.52 Earths,14.463,2016
Kepler-1027 b,1321,0.64 Earths,12.994,2016
Kepler-1028 b,1983,2.33 Earths,14.611,2016
Kepler-1029 b,1196,2.13 Earths,14.434,2016
Kepler-102 b,352,1.1 Earths,12.072,2014
Kepler-102 c,352,1.7 Earths,12.072,2014
Kepler-102 d,352,3 Earths,12.072,2014
Kepler-102 e,352,4.7 Earths,12.072,2013
Kepler-102 f,352,4.3 Earths,12.072,2014
Kepler-1030 b,2475,6.71 Earths,16.003,2016
Kepler-1031 b,2228,0.59 Earths,13.877,2016
Kepler-1032 b,2195,4.16 Earths,16.007,2016
Kepler-1033 b,4748,6.85 Earths,16.186,2016
Kepler-1034 b,2135,5.73 Earths,15.269,2016
Kepler-1035 b,1834,1.71 Earths,13.097,2016
Kepler-1036 b,1597,9.32 Earths,13.87,2016
Kepler-1037 b,1458,2.18 Earths,14.475,2016
Kepler-1038 b,1905,12.2 Earths,15.03,2016
Kepler-1038 c,1905,2.59 Earths,15.03,2021
Kepler-1039 b,1001,2.73 Earths,14.438,2016
Kepler-103 b,1614,9.8 Earths,11.883,2014
Kepler-103 c,1614,38 Earths,11.883,2014
Kepler-1040 b,1573,4.98 Earths,13.614,2016
Kepler-1041 b,4847,8.96 Earths,14.576,2016
Kepler-1042 b,2150,5.43 Earths,16.004,2016
Kepler-1043 b,2947,7.04 Earths,14.949,2016
Kepler-1044 b,4172,7.61 Earths,15.478,2016
Kepler-1045 b,3074,7.7 Earths,15.879,2016
Kepler-1046 b,2354,3.57 Earths,13.347,2016
Kepler-1047 b,2667,5.02 Earths,13.46,2016
Kepler-1047 c,2667,0.937 Earths,13.46,2016
Kepler-1048 b,1814,3.22 Earths,15.138,2016
Kepler-1049 b,528,0.809 Earths,14.695,2016
Kepler-104 b,1307,19.6 Earths,12.697,2014
Kepler-104 c,1307,9.96 Earths,12.697,2014
Kepler-104 d,1307,12.5 Earths,12.697,2014
Kepler-1050 b,1600,3.19 Earths,13.198,2016
Kepler-1050 c,1600,2.79 Earths,13.198,2016
Kepler-1051 b,2705,11.5 Earths,13.212,2016
Kepler-1052 b,3078,8.91 Earths,14.932,2016
Kepler-1052 c,3078,5.9 Earths,14.932,2023
Kepler-1053 b,493,0.904 Earths,13.576,2016
Kepler-1054 b,3557,7.41 Earths,14.143,2016
Kepler-1055 b,1270,2.04 Earths,13.194,2016
Kepler-1056 b,3205,9.32 Earths,14.772,2016
Kepler-1057 b,3920,11.2 Earths,15.825,2016
Kepler-1058 b,1605,7.85 Earths,15.869,2016
Kepler-1059 b,2326,3.64 Earths,15.785,2016
Kepler-105 b,1498,5.1 Earths,12.981,2013
Kepler-105 c,1498,4.6 Earths,12.981,2014
Kepler-1060 b,3088,6.26 Earths,14.827,2016
Kepler-1061 b,1772,4.58 Earths,13.319,2016
Kepler-1062 b,1296,3.75 Earths,15.095,2016
Kepler-1063 b,1120,2.83 Earths,13.029,2016
Kepler-1064 b,1220,3.02 Earths,13.958,2016
Kepler-1065 b,3662,13.4 Earths,15.744,2016
Kepler-1065 c,3662,3.19 Earths,15.744,2016
Kepler-1066 b,1123,6.17 Earths,13.115,2016
Kepler-1067 b,2178,0.437 Earths,14.395,2016
Kepler-1067 c,2178,3.7 Earths,14.395,2021
Kepler-1068 b,4807,12.8 Earths,16.096,2016
Kepler-1069 b,2270,3.19 Earths,13.234,2016
Kepler-106 b,1449,5.3 Earths,12.923,2014
Kepler-106 c,1449,10.44 Earths,12.923,2014
Kepler-106 d,1449,8.1 Earths,12.923,2014
Kepler-106 e,1449,11.17 Earths,12.923,2014
Kepler-1070 b,3063,3.64 Earths,14.133,2016
Kepler-1071 b,3400,6.26 Earths,15.881,2016
Kepler-1072 b,3206,3.12 Earths,13.972,2016
Kepler-1073 b,2642,5.9 Earths,14.749,2016
Kepler-1073 c,2642,3.33 Earths,14.749,2016
Kepler-1073 d,2642,2.82 Earths,14.749,2021
Kepler-1074 b,818,2.1 Earths,15.599,2016
Kepler-1075 b,950,2.6 Earths,15.909,2016
Kepler-1076 b,649,0.437 Earths,13.175,2016
Kepler-1077 b,3593,8.1 Earths,14.923,2016
Kepler-1078 b,8095,4.27 Earths,15.703,2016
Kepler-1079 b,1928,3.29 Earths,12.78,2016
Kepler-107 b,1716,3.8 Earths,12.543,2014
Kepler-107 c,1716,10 Earths,12.543,2014
Kepler-107 d,1716,7.7 Earths,12.543,2014
Kepler-107 e,1716,14.1 Earths,12.543,2014
Kepler-1080 b,4511,10.8 Earths,13.486,2016
Kepler-1081 b,1371,1.01 Earths,13.827,2016
Kepler-1082 b,2412,1.46 Earths,13.444,2016
Kepler-1083 b,2944,11.2 Earths,16.103,2016
Kepler-1084 b,1323,1.41 Earths,12.015,2016
Kepler-1085 b,4451,0.13 Jupiters,15.273,2016
Kepler-1085 c,4451,10.7 Earths,15.273,2020
Kepler-1086 b,1520,6.53 Earths,16.002,2016
Kepler-1086 c,1520,8.96 Earths,16.002,2016
Kepler-1087 b,1183,0.165 Earths,12.973,2016
Kepler-1088 b,915,2.6 Earths,11.472,2016
Kepler-1089 b,846,4.01 Earths,16.233,2016
Kepler-108 b,1105,0.176 Jupiters,12.657,2014
Kepler-108 c,1105,0.16 Jupiters,12.657,2014
Kepler-1090 b,2801,5.69 Earths,15.31,2016
Kepler-1090 c,2801,10.9 Earths,15.31,2021
Kepler-1091 b,2982,2.73 Earths,14.874,2016
Kepler-1092 b,3201,4.94 Earths,14.659,2016
Kepler-1093 b,3500,4.46 Earths,13.781,2016
Kepler-1093 c,3500,4.5 Earths,13.781,2016
Kepler-1094 b,4211,10.2 Earths,15.318,2016
Kepler-1095 b,2585,1.92 Earths,14.597,2016
Kepler-1096 b,1233,2.07 Earths,15.438,2016
Kepler-1097 b,2348,10.7 Earths,15.652,2016
Kepler-1098 b,3422,2.24 Earths,14.886,2016
Kepler-1099 b,3336,8.4 Earths,15.137,2016
Kepler-109 b,1549,4.9 Earths,12.398,2014
Kepler-109 c,1549,8.2 Earths,12.398,2014
Kepler-10 b,605,3.26 Earths,11.043,2011
Kepler-10 c,605,11.4 Earths,11.043,2011
Kepler-10 d,605,12.68 Earths,11.043,2023
Kepler-1100 b,2263,3.71 Earths,13.952,2016
Kepler-1101 b,2422,6.66 Earths,15.156,2016
Kepler-1102 b,4065,7.56 Earths,14.928,2016
Kepler-1103 b,4345,5.77 Earths,14.294,2016
Kepler-1104 b,1731,2.04 Earths,12.125,2016
Kepler-1105 b,1037,4.7 Earths,15.315,2016
Kepler-1106 b,3558,3.36 Earths,14.863,2016
Kepler-1107 b,1399,2.36 Earths,14.315,2016
Kepler-1108 b,2504,2.73 Earths,15.132,2016
Kepler-1109 b,2235,5.43 Earths,14.405,2016
Kepler-110 b,1913,4.01 Earths,13.003,2014
Kepler-110 c,1913,5.52 Earths,13.003,2014
Kepler-1110 b,2371,7.56 Earths,16.274,2016
Kepler-1111 b,2745,4.66 Earths,14.88,2016
Kepler-1112 b,5452,9.38 Earths,14.74,2016
Kepler-1113 b,3503,8.3 Earths,14.943,2016
Kepler-1114 b,1365,2.39 Earths,13.935,2016
Kepler-1115 b,3207,3.53 Earths,11.983,2016
Kepler-1116 b,3290,6.99 Earths,15.424,2016
Kepler-1117 b,1854,1.41 Earths,14.15,2016
Kepler-1118 b,2898,7.95 Earths,15.238,2016
Kepler-1119 b,5732,4.35 Earths,15.296,2016
Kepler-111 b,2144,3.12 Earths,13.543,2014
Kepler-111 c,2144,0.132 Jupiters,13.543,2014
Kepler-1120 b,2007,2.48 Earths,15.494,2016
Kepler-1121 b,1572,4.31 Earths,12.144,2016
Kepler-1122 b,4014,4.82 Earths,15.405,2016
Kepler-1123 b,2298,3.43 Earths,14.933,2016
Kepler-1124 b,946,2.18 Earths,16.745,2016
Kepler-1125 b,6561,4.04 Earths,15.042,2016
Kepler-1126 b,2074,3.64 Earths,14.221,2016
Kepler-1126 c,2074,2.7 Earths,14.221,2023
Kepler-1127 b,2748,4.5 Earths,15.162,2016
Kepler-1128 b,3534,12.9 Earths,15.934,2016
Kepler-1129 b,3862,9.06 Earths,15.661,2016
Kepler-1129 c,3862,7.9 Earths,15.661,2016
Kepler-112 b,1674,6.17 Earths,13.927,2014
Kepler-112 c,1674,6.35 Earths,13.927,2014
Kepler-1130 b,813,0.437 Earths,12.509,2016
Kepler-1130 c,813,0.422 Earths,12.509,2021
Kepler-1130 d,813,0.202 Earths,12.509,2021
Kepler-1131 b,3362,3.15 Earths,15.01,2016
Kepler-1132 b,2831,6.12 Earths,15.818,2016
Kepler-1133 b,2457,4.54 Earths,14.785,2016
Kepler-1134 b,3081,7.46 Earths,16.233,2016
Kepler-1135 b,4288,4.08 Earths,14.545,2016
Kepler-1136 b,1603,3.33 Earths,16.037,2016
Kepler-1137 b,3007,5.48 Earths,12.827,2016
Kepler-1138 b,2846,3.53 Earths,15.885,2016
Kepler-1139 b,1615,1.81 Earths,14.229,2016
Kepler-113 b,856,11.7 Earths,13.655,2014
Kepler-113 c,856,8.7 Earths,13.655,2014
Kepler-1140 b,2141,8.1 Earths,15.751,2016
Kepler-1141 b,1284,0.477 Earths,12.403,2016
Kepler-1142 b,4154,2.76 Earths,14.505,2016
Kepler-1143 b,1811,3.43 Earths,15.493,2016
Kepler-1143 c,1811,12.6 Earths,15.493,2016
Kepler-1144 b,3721,4.62 Earths,14.943,2016
Kepler-1145 b,2257,2.54 Earths,15.471,2016
Kepler-1146 b,2293,2.04 Earths,15.953,2016
Kepler-1147 b,5406,7.32 Earths,15.613,2016
Kepler-1148 b,2041,3.5 Earths,15.533,2016
Kepler-1149 b,3972,2.67 Earths,15.146,2016
Kepler-114 b,847,6.8 Earths,13.961,2014
Kepler-114 c,847,2.8 Earths,13.961,2013
Kepler-114 d,847,3.9 Earths,13.961,2013
Kepler-1150 b,1169,1.04 Earths,14.748,2016
Kepler-1151 b,2226,5.56 Earths,15.005,2016
Kepler-1152 b,702,0.59 Earths,15.31,2016
Kepler-1153 b,3652,3.64 Earths,15.767,2016
Kepler-1154 b,4763,6.08 Earths,14.953,2016
Kepler-1154 c,4763,6.17 Earths,14.953,2016
Kepler-1155 b,3682,4.78 Earths,14.799,2016
Kepler-1156 b,2255,2.3 Earths,14.262,2016
Kepler-1157 b,1116,1.32 Earths,14.603,2016
Kepler-1158 b,4842,6.08 Earths,13.618,2016
Kepler-1159 b,3959,6.21 Earths,14.678,2016
Kepler-115 b,2034,1.32 Earths,13.545,2014
Kepler-115 c,2034,7.27 Earths,13.545,2014
Kepler-1160 b,3515,5.22 Earths,16.006,2016
Kepler-1161 b,1787,5.18 Earths,16.163,2016
Kepler-1162 b,3067,5.52 Earths,15.749,2016
Kepler-1162 c,3067,3.93 Earths,15.749,2023
Kepler-1163 b,1561,1.08 Earths,12.208,2016
Kepler-1164 b,1408,1.46 Earths,14.321,2016
Kepler-1165 b,5138,3.02 Earths,14.521,2016
Kepler-1165 c,5138,11.2 Earths,14.521,2021
Kepler-1166 b,2071,3.5 Earths,14.65,2016
Kepler-1167 b,2678,3.57 Earths,16.047,2016
Kepler-1168 b,2455,6.8 Earths,15.755,2016
Kepler-1169 b,1705,0.779 Earths,12.707,2016
Kepler-116 b,3116,11.6 Earths,13.744,2014
Kepler-116 c,3116,5.9 Earths,13.744,2014
Kepler-1170 b,3427,6.39 Earths,16.204,2016
Kepler-1171 b,1869,7.08 Earths,11.647,2016
Kepler-1172 b,4262,10.3 Earths,16.083,2016
